,date,region,frequency,estimated unemployment rate (%),estimated employed,estimated labour participation rate (%),area,year,month,COVID_Impact,Rolling_Unemployment,diff
0,2019-05-31,Andhra Pradesh, Monthly,3.65,11999139.0,43.24,Rural,2019.0,May,0,,
29,2019-05-31,Madhya Pradesh,Monthly,3.91,6692720.0,38.96,Urban,2019.0,May,0,,0.26000000000000023
30,2019-05-31,Tamil Nadu, Monthly,0.97,15844698.0,49.44,Rural,2019.0,May,0,2.8433333333333333,-2.9400000000000004
31,2019-05-31,Rajasthan, Monthly,4.03,15226005.0,38.52,Rural,2019.0,May,0,2.97,3.0600000000000005
32,2019-05-31,Punjab, Monthly,9.17,6088547.0,44.79,Rural,2019.0,May,0,4.723333333333334,5.14
33,2019-05-31,Tamil Nadu,Monthly,0.89,11798080.0,37.31,Urban,2019.0,May,0,4.696666666666667,-8.28
34,2019-05-31,Puducherry, Monthly,0.0,172474.0,43.08,Rural,2019.0,May,0,3.3533333333333335,-0.89
35,2019-05-31,Odisha, Monthly,4.17,11155753.0,40.47,Rural,2019.0,May,0,1.6866666666666665,4.17
36,2019-05-31,Meghalaya, Monthly,3.16,1119011.0,66.13,Rural,2019.0,May,0,2.4433333333333334,-1.0099999999999998
37,2019-05-31,Telangana,Monthly,1.52,5560649.0,44.59,Urban,2019.0,May,0,2.9499999999999997,-1.6400000000000001
38,2019-05-31,Maharashtra, Monthly,3.67,23896858.0,47.11,Rural,2019.0,May,0,2.783333333333333,2.15
40,2019-05-31,Kerala, Monthly,6.63,5184355.0,38.07,Rural,2019.0,May,0,3.94,2.96
28,2019-05-31,Uttarakhand, Monthly,1.63,2108044.0,37.47,Rural,2019.0,May,0,3.9766666666666666,-5.0
41,2019-05-31,Telangana, Monthly,2.23,11053353.0,61.74,Rural,2019.0,May,0,3.4966666666666666,0.6000000000000001
43,2019-05-31,Tripura,Monthly,34.69,423127.0,69.5,Urban,2019.0,May,0,12.85,32.46
44,2019-05-31,Goa, Monthly,2.91,179340.0,39.16,Rural,2019.0,May,0,13.276666666666666,-31.779999999999998
45,2019-05-31,Tripura, Monthly,29.25,1019549.0,64.47,Rural,2019.0,May,0,22.28333333333333,26.34
46,2019-05-31,Gujarat, Monthly,2.88,13954728.0,52.03,Rural,2019.0,May,0,11.68,-26.37
47,2019-05-31,Uttarakhand,Monthly,9.17,676797.0,26.33,Urban,2019.0,May,0,13.766666666666666,6.29
48,2019-05-31,Rajasthan,Monthly,13.62,5108436.0,39.44,Urban,2019.0,May,0,8.556666666666667,4.449999999999999
49,2019-05-31,Himachal Pradesh, Monthly,13.68,2045760.0,44.23,Rural,2019.0,May,0,12.156666666666666,0.0600000000000005
50,2019-05-31,Uttar Pradesh,Monthly,14.4,13391244.0,40.43,Urban,2019.0,May,0,13.9,0.7200000000000006
51,2019-05-31,Jammu & Kashmir, Monthly,12.78,2495186.0,40.57,Rural,2019.0,May,0,13.62,-1.620000000000001
52,2019-05-31,Jharkhand, Monthly,7.11,7035766.0,39.04,Rural,2019.0,May,0,11.43,-5.669999999999999
53,2019-05-31,Haryana, Monthly,14.54,5249186.0,45.12,Rural,2019.0,May,0,11.476666666666667,7.429999999999999
42,2019-05-31,Karnataka, Monthly,5.46,13911440.0,46.36,Rural,2019.0,May,0,9.036666666666667,-9.079999999999998
27,2019-05-31,Chhattisgarh,Monthly,9.77,2223129.0,45.61,Urban,2019.0,May,0,9.923333333333334,4.31
39,2019-05-31,Madhya Pradesh, Monthly,3.63,15349838.0,37.97,Rural,2019.0,May,0,6.286666666666666,-6.14
25,2019-05-31,Bihar,Monthly,19.9,3029344.0,39.8,Urban,2019.0,May,0,11.1,16.27
26,2019-05-31,Kerala,Monthly,6.11,4605913.0,36.65,Urban,2019.0,May,0,9.879999999999999,-13.79
2,2019-05-31,Jharkhand,Monthly,17.23,2404033.0,43.25,Urban,2019.0,May,0,14.413333333333332,11.120000000000001
3,2019-05-31,Jammu & Kashmir,Monthly,23.04,1130139.0,46.74,Urban,2019.0,May,0,15.459999999999999,5.809999999999999
4,2019-05-31,Himachal Pradesh,Monthly,10.88,245668.0,45.27,Urban,2019.0,May,0,17.05,-12.159999999999998
5,2019-05-31,Meghalaya,Monthly,8.4,228978.0,47.79,Urban,2019.0,May,0,14.10666666666667,-2.4800000000000004
6,2019-05-31,Haryana,Monthly,24.67,2693596.0,43.18,Urban,2019.0,May,0,14.65,16.270000000000003
7,2019-05-31,Gujarat,Monthly,4.09,9686558.0,41.67,Urban,2019.0,May,0,12.386666666666665,-20.580000000000002
8,2019-05-31,Goa,Monthly,2.75,264855.0,34.17,Urban,2019.0,May,0,10.503333333333334,-1.3399999999999999
9,2019-05-31,Odisha,Monthly,2.95,2519582.0,41.26,Urban,2019.0,May,0,3.263333333333333,0.20000000000000018
10,2019-05-31,Delhi,Monthly,12.31,5756475.0,44.17,Urban,2019.0,May,0,6.003333333333334,9.36
11,2019-05-31,Chandigarh,Monthly,18.35,348042.0,44.89,Urban,2019.0,May,0,11.203333333333333,6.040000000000001
12,2019-05-31,Karnataka,Monthly,6.56,8638239.0,40.62,Urban,2019.0,May,0,12.406666666666668,-11.790000000000003
1,2019-05-31,Maharashtra,Monthly,6.08,16962574.0,38.3,Urban,2019.0,May,0,10.33,-0.47999999999999954
14,2019-05-31,Assam,Monthly,7.87,1671707.0,44.92,Urban,2019.0,May,0,6.836666666666666,1.79
13,2019-05-31,Puducherry,Monthly,1.25,283905.0,35.71,Urban,2019.0,May,0,5.066666666666667,-6.62
23,2019-05-31,Bihar, Monthly,9.27,24322330.0,39.75,Rural,2019.0,May,0,6.13,8.02
22,2019-05-31,Chhattisgarh, Monthly,9.82,6259019.0,42.89,Rural,2019.0,May,0,6.78,0.5500000000000007
21,2019-05-31,West Bengal,Monthly,7.25,11306177.0,46.37,Urban,2019.0,May,0,8.78,-2.5700000000000003
20,2019-05-31,Sikkim,Monthly,8.2,89587.0,48.61,Urban,2019.0,May,0,8.423333333333334,0.9499999999999993
24,2019-05-31,Assam, Monthly,4.29,11749334.0,57.39,Rural,2019.0,May,0,6.579999999999999,-3.9099999999999993
18,2019-05-31,Uttar Pradesh, Monthly,10.26,43287808.0,39.96,Rural,2019.0,May,0,7.583333333333333,5.97
17,2019-05-31,West Bengal, Monthly,6.02,23452875.0,46.41,Rural,2019.0,May,0,6.8566666666666665,-4.24
16,2019-05-31,Punjab,Monthly,13.49,3289918.0,40.03,Urban,2019.0,May,0,9.923333333333334,7.470000000000001
15,2019-05-31,Andhra Pradesh,Monthly,6.09,4788661.0,37.45,Urban,2019.0,May,0,8.533333333333333,-7.4
19,2019-05-31,Delhi, Monthly,12.56,169487.0,42.33,Rural,2019.0,May,0,10.713333333333333,6.470000000000001
92,2019-06-30,Rajasthan,Monthly,14.36,5241174.0,40.73,Urban,2019.0,June,0,11.003333333333332,1.799999999999999
91,2019-06-30,Jharkhand,Monthly,20.51,2326911.0,43.51,Urban,2019.0,June,0,15.810000000000002,6.150000000000002
90,2019-06-30,Andhra Pradesh,Monthly,3.8,4824630.0,36.76,Urban,2019.0,June,0,12.89,-16.71
83,2019-06-30,Odisha, Monthly,4.71,10965154.0,39.94,Rural,2019.0,June,0,9.673333333333334,0.9100000000000001
89,2019-06-30,Punjab,Monthly,13.17,3307798.0,40.02,Urban,2019.0,June,0,7.226666666666667,8.46
87,2019-06-30,West Bengal, Monthly,5.85,25543465.0,50.36,Rural,2019.0,June,0,7.909999999999999,-7.32
86,2019-06-30,Meghalaya, Monthly,4.23,1024797.0,61.09,Rural,2019.0,June,0,7.75,-1.6199999999999992
85,2019-06-30,Uttarakhand, Monthly,4.65,2021553.0,37.01,Rural,2019.0,June,0,4.91,0.41999999999999993
84,2019-06-30,Haryana, Monthly,23.08,4745178.0,45.23,Rural,2019.0,June,0,10.653333333333334,18.43
94,2019-06-30,Assam,Monthly,9.89,1647342.0,45.17,Urban,2019.0,June,0,12.540000000000001,-13.189999999999998
88,2019-06-30,Telangana,Monthly,1.43,5683349.0,45.43,Urban,2019.0,June,0,11.466666666666669,-8.46
95,2019-06-30,Tamil Nadu,Monthly,1.56,12318745.0,39.16,Urban,2019.0,June,0,4.293333333333335,0.13000000000000012
101,2019-06-30,Sikkim,Monthly,7.76,89702.0,48.13,Urban,2019.0,June,0,3.5833333333333344,6.199999999999999
97,2019-06-30,Jammu & Kashmir, Monthly,12.09,2423742.0,39.02,Rural,2019.0,June,0,7.136666666666668,4.33
